generated_rd,target_fecha,target_hora,signal_key,edge_label,alert_level,best_score,best_lift,best_mi,best_chi2,rows_used,support,top3,top12,top_pairs,notified,fingerprint
2026-04-02 18:49:28,2026-04-02,7PM,2026-04-02|Anguilla|7PM,EDGE REAL,MEDIUM,1.012637,2.300826,0.000602,8.586093,5340,1411,06|48|76,06|48|76|62|19|92|81|28|95|51|08|66,,0,ac09cf612874add45a42224337ffa24f
2026-04-02 07:45:34,2026-04-02,8AM,2026-04-02|Anguilla|8AM,SEÑAL DÉBIL,INFO,1.068665,1.953263,0.00037,4.955242,5329,1402,52|21|44,52|21|44|93|28|54|83|01|66|03|64|46,,0,7aeb38233a123edde72aac441634880e
2026-04-02 19:57:56,2026-04-02,8PM,2026-04-02|Anguilla|8PM,EDGE MODERADO,LOW,1.180129,2.629055,0.000707,10.65561,5341,1420,53|41|84,53|41|84|89|79|81|38|82|09|85|34|78,,0,f350b901b8a58cabd842694049a1e56a
2026-04-02 08:40:00,2026-04-02,9AM,2026-04-02|Anguilla|9AM,SEÑAL DÉBIL,INFO,1.178763,2.220598,0.000505,7.11136,5330,1398,22|37|83,22|37|83|02|74|45|00|98|53|51|95|33,,0,b28e37adbb9e1b3f9a8b7e25db6aa754
2026-04-03 09:36:55,2026-04-03,10AM,2026-04-03|Anguilla|10AM,SEÑAL DÉBIL,INFO,1.096881,2.687822,0.000811,12.330882,5344,1378,18|53|92,18|53|92|84|70|82|02|81|48|11|93|13,,0,038e1689cf4aa8edcb822ddfd4683dee
2026-04-03 10:25:44,2026-04-03,11AM,2026-04-03|Anguilla|11AM,SEÑAL DÉBIL,INFO,1.096537,2.687316,0.000811,12.325946,5344,1378,18|53|92,18|53|92|84|70|82|02|81|48|11|93|13,,0,aa6d8cd09906ec373eb039cf5e773dce
2026-04-03 11:54:28,2026-04-03,12PM,2026-04-03|Anguilla|12PM,SEÑAL DÉBIL,INFO,1.09606,2.686811,0.000811,12.32101,5344,1378,18|53|92,18|53|92|84|70|82|02|81|48|11|93|13,,0,cf615ce713a797525a0a876b9d141e9b
2026-04-03 12:41:04,2026-04-03,1PM,2026-04-03|Anguilla|1PM,SEÑAL DÉBIL,INFO,1.098093,2.686305,0.000811,12.316075,5344,1377,18|53|92,18|53|92|84|70|82|02|81|48|11|93|06,,0,3b677d3dc7a384b67879b5a76d68946a
2026-04-03 13:21:03,2026-04-03,2PM,2026-04-03|Anguilla|2PM,SEÑAL DÉBIL,INFO,1.09775,2.6858,0.000811,12.311139,5344,1377,18|53|92,18|53|92|84|70|82|02|81|48|11|93|06,,0,39ac5cc2406eba9613f01f86e66d5c75
2026-04-03 14:01:14,2026-04-03,3PM,2026-04-03|Anguilla|3PM,SEÑAL DÉBIL,INFO,1.097406,2.685294,0.00081,12.306204,5344,1377,18|53|92,18|53|92|84|70|82|02|81|48|11|93|06,,0,2c5ac1d95786ba601585ad606d424485
2026-04-03 15:51:15,2026-04-03,4PM,2026-04-03|Anguilla|4PM,SEÑAL DÉBIL,INFO,1.097063,2.684789,0.00081,12.30127,5344,1377,18|53|92,18|53|92|84|70|82|02|81|48|11|93|06,,0,6ae74d6be87d81f9feda0bf34d402231
2026-04-03 16:37:25,2026-04-03,5PM,2026-04-03|Anguilla|5PM,SEÑAL DÉBIL,INFO,1.097977,2.684283,0.00081,12.296335,5344,1376,18|53|92,18|53|92|84|70|82|02|81|48|93|11|13,,0,3c6fd9ec23d71650d7ce016088ebc052
2026-04-03 17:48:27,2026-04-03,6PM,2026-04-03|Anguilla|6PM,SEÑAL DÉBIL,INFO,1.097316,2.683778,0.00081,12.291401,5344,1375,18|53|92,18|53|92|84|70|82|02|81|48|93|11|13,,0,0cac2540498bc006c49a1ded3f4fb3e6
2026-04-03 18:57:11,2026-04-03,7PM,2026-04-03|Anguilla|7PM,SEÑAL DÉBIL,INFO,1.096972,2.683272,0.00081,12.286467,5344,1375,18|53|92,18|53|92|84|70|82|02|81|48|93|11|13,,0,4183486bc2abb105ea7348ce1e2612f4
2026-04-03 07:37:58,2026-04-03,8AM,2026-04-03|Anguilla|8AM,SEÑAL DÉBIL,INFO,1.097193,2.688327,0.000811,12.335818,5344,1378,18|53|92,18|53|92|84|70|82|02|81|48|11|93|13,,0,7ef51181aa2e7c8db1f8428844024eb2
2026-04-03 19:40:13,2026-04-03,8PM,2026-04-03|Anguilla|8PM,SEÑAL DÉBIL,INFO,1.096629,2.682767,0.00081,12.281533,5344,1375,18|53|92,18|53|92|84|70|82|02|81|48|93|11|13,,0,5b89f8a4dc56bef872d7438bdda9a6ec
2026-04-03 08:04:56,2026-04-03,9AM,2026-04-03|Anguilla|9AM,SEÑAL DÉBIL,INFO,1.097226,2.688327,0.000811,12.335818,5344,1378,18|53|92,18|53|92|84|70|82|02|81|48|11|93|13,,0,c14728362f3bc917ac61d47244d3b31e
2026-04-03 20:03:41,2026-04-03,9PM,2026-04-03|Anguilla|9PM,SEÑAL DÉBIL,INFO,1.09805,2.682261,0.00081,12.2766,5344,1374,18|53|92,18|53|92|84|70|82|02|81|48|93|11|13,,0,6f630faf15c481dd1a994ec4e1f4ec9e
2026-04-04 09:55:45,2026-04-04,10AM,2026-04-04|Anguilla|10AM,SEÑAL DÉBIL,INFO,1.097312,2.222874,0.000508,7.130071,5346,1416,45|85|11,45|85|11|50|83|57|16|38|19|89|44|28,,0,62ffca49c06fec83e59f5b1d0426330b
2026-04-04 21:22:03,2026-04-04,10PM,2026-04-04|Anguilla|10PM,EDGE MODERADO,LOW,0.850298,2.022393,0.000322,4.368073,5358,1384,27|42|04,27|42|04|85|63|39|62|20|91|30|75|07,,1,e5f43cfa17d007b8011dfee591638ade
2026-04-04 10:34:56,2026-04-04,11AM,2026-04-04|Anguilla|11AM,EDGE REAL,MEDIUM,1.101521,2.481548,0.000703,10.306819,5347,1453,42|57|09,42|57|09|81|74|48|15|05|84|20|14|26,,0,f42da4cdc40f73a869745aafef676982
2026-04-04 11:46:10,2026-04-04,12PM,2026-04-04|Anguilla|12PM,EDGE MODERADO,LOW,1.194717,2.413098,0.000729,10.562715,5348,1471,05|74|11,05|74|11|82|65|32|16|93|76|90|61|19,,0,25db0c9ce11126001ee92b48fdf63017
2026-04-04 12:57:05,2026-04-04,1PM,2026-04-04|Anguilla|1PM,EDGE MODERADO,LOW,1.276572,2.142626,0.000496,6.46868,5349,1459,09|56|59,09|56|59|38|69|14|33|15|04|35|42|29,,0,9346b79814966aadc49276ba650837d3
2026-04-04 13:36:53,2026-04-04,2PM,2026-04-04|Anguilla|2PM,EDGE REAL,MEDIUM,1.102014,2.399918,0.000658,9.526511,5350,1447,40|82|10,40|82|10|61|51|00|94|56|20|13|71|12,,0,ad9e0036ceb16bcfd4377f3b631333ba
2026-04-04 14:57:59,2026-04-04,3PM,2026-04-04|Anguilla|3PM,EDGE MODERADO,LOW,1.049566,1.988424,0.000366,4.68953,5351,1398,14|33|11,14|33|11|38|51|88|93|22|82|81|12|54,,1,9d5c73fc0b6206a0a5b1917fcab4c2b2
2026-04-04 15:59:18,2026-04-04,4PM,2026-04-04|Anguilla|4PM,SEÑAL DÉBIL,INFO,1.283542,2.33573,0.000505,7.250828,5352,1398,86|40|69,86|40|69|41|18|53|88|75|84|44|99|20,,0,06833e7f0aa1ea8bd3999d3a2a9cf608
2026-04-04 16:45:02,2026-04-04,5PM,2026-04-04|Anguilla|5PM,SEÑAL DÉBIL,INFO,1.037627,2.112093,0.000452,6.218518,5353,1452,08|02|76,08|02|76|39|66|91|85|41|37|95|92|53,,0,50f56a14af19d088f38393159ede2de9
2026-04-04 17:48:57,2026-04-04,6PM,2026-04-04|Anguilla|6PM,EDGE MODERADO,LOW,1.410251,2.764327,0.000852,13.079856,5354,1464,26|79|85,26|79|85|86|89|29|14|61|30|08|59|28,,0,d979ff80be8887c6200d02f694378330
